"","#Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","ANNEALINGEvolK2P",TRUE,0,216,100,0,"ConsensusLogLL",-279.93417034023,"sim--403477487.msf",7120,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"2","ANNEALINGEvolK2P",TRUE,0,216,100,0,"BestSampledLogLL",-280.884622112999,"sim--403477487.msf",7120,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"3","ANNEALINGEvolK2P",TRUE,0,216,100,0,"PartitionMetric",0,"sim--403477487.msf",7120,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"4","ANNEALINGEvolK2P",TRUE,0,216,100,0,"RobinsonFouldsMetric",0.171045061498225,"sim--403477487.msf",7120,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"5","ANNEALINGEvolK2P",TRUE,0,216,100,0,"KuhnerFelsenstein",0.00687811615307527,"sim--403477487.msf",7120,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"6","SSEvolK2P",NA,NA,NA,21600,0,NA,NA,"sim--403477487.msf",3131,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"7","ANNEALINGJC",TRUE,0,211,100,0,"ConsensusLogLL",-278.355261708195,"sim--403477487.msf",2098,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"8","ANNEALINGJC",TRUE,0,211,100,0,"BestSampledLogLL",-278.144395551466,"sim--403477487.msf",2098,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"9","ANNEALINGJC",TRUE,0,211,100,0,"PartitionMetric",0,"sim--403477487.msf",2098,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"10","ANNEALINGJC",TRUE,0,211,100,0,"RobinsonFouldsMetric",0.17172993171717,"sim--403477487.msf",2098,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"11","ANNEALINGJC",TRUE,0,211,100,0,"KuhnerFelsenstein",0.00577407380475953,"sim--403477487.msf",2098,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"12","SSJC",NA,NA,NA,21100,0,NA,NA,"sim--403477487.msf",1983,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"13","ANNEALINGEvolGTR",TRUE,0,270,100,0,"ConsensusLogLL",-278.468156614192,"sim--403477487.msf",6220,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"14","ANNEALINGEvolGTR",TRUE,0,270,100,0,"BestSampledLogLL",-278.714487424885,"sim--403477487.msf",6220,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"15","ANNEALINGEvolGTR",TRUE,0,270,100,0,"PartitionMetric",0,"sim--403477487.msf",6220,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"16","ANNEALINGEvolGTR",TRUE,0,270,100,0,"RobinsonFouldsMetric",0.17500993171717,"sim--403477487.msf",6220,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"17","ANNEALINGEvolGTR",TRUE,0,270,100,0,"KuhnerFelsenstein",0.0054750874656287,"sim--403477487.msf",6220,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"18","SSEvolGTR",NA,NA,NA,27000,0,NA,NA,"sim--403477487.msf",5816,7181,0.999,100,6,202,10,"100 100000 100 100000 100 100000"
"19","ANNEALINGEvolK2P",TRUE,0,251,100,0,"ConsensusLogLL",-365.65823075321,"sim-1258889392.msf",7640,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"20","ANNEALINGEvolK2P",TRUE,0,251,100,0,"BestSampledLogLL",-366.503489458202,"sim-1258889392.msf",7640,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"21","ANNEALINGEvolK2P",TRUE,0,251,100,0,"PartitionMetric",0,"sim-1258889392.msf",7640,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"22","ANNEALINGEvolK2P",TRUE,0,251,100,0,"RobinsonFouldsMetric",0.137704243450607,"sim-1258889392.msf",7640,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"23","ANNEALINGEvolK2P",TRUE,0,251,100,0,"KuhnerFelsenstein",0.00472004873829293,"sim-1258889392.msf",7640,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"24","SSEvolK2P",NA,NA,NA,25100,0,NA,NA,"sim-1258889392.msf",3778,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"25","ANNEALINGJC",TRUE,0,237,100,0,"ConsensusLogLL",-362.455915103592,"sim-1258889392.msf",2402,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"26","ANNEALINGJC",TRUE,0,237,100,0,"BestSampledLogLL",-362.073056983061,"sim-1258889392.msf",2402,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"27","ANNEALINGJC",TRUE,0,237,100,0,"PartitionMetric",2,"sim-1258889392.msf",2402,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"28","ANNEALINGJC",TRUE,0,237,100,0,"RobinsonFouldsMetric",0.18932076992654,"sim-1258889392.msf",2402,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"29","ANNEALINGJC",TRUE,0,237,100,0,"KuhnerFelsenstein",0.00686316490558807,"sim-1258889392.msf",2402,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"30","SSJC",NA,NA,NA,23700,0,NA,NA,"sim-1258889392.msf",2172,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"31","ANNEALINGEvolGTR",TRUE,0,311,100,0,"ConsensusLogLL",-366.513704522006,"sim-1258889392.msf",7430,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"32","ANNEALINGEvolGTR",TRUE,0,311,100,0,"BestSampledLogLL",-361.972110559772,"sim-1258889392.msf",7430,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"33","ANNEALINGEvolGTR",TRUE,0,311,100,0,"PartitionMetric",2,"sim-1258889392.msf",7430,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"34","ANNEALINGEvolGTR",TRUE,0,311,100,0,"RobinsonFouldsMetric",0.218810711594603,"sim-1258889392.msf",7430,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"35","ANNEALINGEvolGTR",TRUE,0,311,100,0,"KuhnerFelsenstein",0.00833092205717046,"sim-1258889392.msf",7430,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
"36","SSEvolGTR",NA,NA,NA,31100,0,NA,NA,"sim-1258889392.msf",6574,7181,0.999,100,6,201,10,"100 100000 100 100000 100 100000"
